assembly_accession	sample_name	GenomeID	haplotype	GenHapID
GCA_042030215.1	HG02027_pat	HG02027	Hap1	HG02027_Hap1
GCA_042030135.1	HG02083_pat	HG02083	Hap1	HG02083_Hap1
GCA_042030125.1	HG02132_pat	HG02132	Hap1	HG02132_Hap1
GCA_042027485.1	HG02280_pat	HG02280	Hap1	HG02280_Hap1
GCA_042027495.1	HG02293_pat	HG02293	Hap1	HG02293_Hap1
GCA_042028475.1	HG02300_pat	HG02300	Hap1	HG02300_Hap1
GCA_042027135.1	HG02451_pat	HG02451	Hap1	HG02451_Hap1
GCA_042030115.1	HG02523_pat	HG02523	Hap1	HG02523_Hap1
GCA_042029935.1	HG02615_pat	HG02615	Hap1	HG02615_Hap1
GCA_042028775.1	HG02647_pat	HG02647	Hap1	HG02647_Hap1
